"clonal_loss_droplets"	"clonal_loss_classic_cnv"	"clonal_loss_snp_cnv"	"clonal_gain_droplets"	"clonal_gain_classic_cnv"	"clonal_gain_snp_cnv"
15000	10.9	28.5	15000	7.5	17.7
17500	13.4	34.9	17500	10.4	24.1
20000	18.3	39.4	20000	13.5	26.1
22500	16.4	45.1	22500	14	28.9
25000	19.7	52.6	25000	14.2	34.1
27500	23.7	58.6	27500	19.7	38.4
30000	24.9	63.5	30000	20.5	41.9
32500	28.8	69.3	32500	20.1	46.3
35000	29.2	72.8	35000	24.9	46.4
37500	33.9	72.5	37500	26.9	52.6
40000	34.7	80	40000	27.2	56.1
42500	35.4	81.2	42500	29.3	60.1
45000	38.8	84.8	45000	31.5	61.8
